Designator,Footprint,Quantity,Value,LCSC Part #
C201,C165631_CAP-SMD_BD6_3-L6_6-W6_6-FD,1,100uF,C165631
C202,C14663_C0603,1,100nF,C14663
"C203, C204, C303",C15849_C0603,3,1uF,C15849
"C301, C306, C401, C703, C704",C14663_C0603,5,100 nF,C14663
"C302, C402",C13585_C1206,2,10 uF,C13585
C305,C19666_C0603,1,4.7 uF,C19666
"D601, D602, D603, D604, D605, D606, D607, D608",C12065_LED0603-RD,8,GREEN,C12065
F101,C3131_FUSE-TH_L22_6-W9_0,1,T2A,C3131
J101,C2915640_CONN-TH_3P-P5_08_DIBO_DB128V-5_08-3P-X,1,AC IN,C2915640
J102,C2915641_CONN-TH_4P-P5_08_DIBO_DB128V-5_08,1,4P 5.08mm (SWITCH),C2915641
J201,C5360898_HDR-TH_2P-P2_54-V-M-3,1,PWR_5V,C5360898
J202,C5360898_HDR-TH_2P-P2_54-V-M-3,1,PWR_3V3,C5360898
J301,C5184243_USB-C-SMD_MC-311D,1,USB4105-GF-A-120,C5184243
J302,C5360898_HDR-TH_2P-P2_54-V-M-3,1,STATUS,C5360898
J701,C2915639_CONN-TH_2P-P5_08_DIBO_DB128V-5_08,1,24VAC IN,C2915639
J702,C90065_CONN-TH_8P-P5_08_1757307,1,VALVES,C90065
J703,C2915639_CONN-TH_2P-P5_08_DIBO_DB128V-5_08,1,INPUT1,C2915639
J704,C2915639_CONN-TH_2P-P5_08_DIBO_DB128V-5_08,1,INPUT2,C2915639
"K601, K602, K603, K604, K605, K606, K607, K608",C116963_RELAY-TH_G5LE-14-XX,8,G5LE-1,C116963
"Q301, Q302",C2150_SOT-23-3_L2_9-W1_3-P1_90-LS2_4-BR,2,SS8050,C2150
"R201, R202, R307, R308, R601, R602, R603, R604, R605, R606, R607, R608",C22548_R0603,12,1K,C22548
"R301, R302, R303, R304, R401, R703, R704",C25804_R0603,7,10k,C25804
"R305, R306",C23186_R0603,2,5.1k,C23186
"R405, R406",C23162_R0603,2,4.7k,C23162
RV101,C233160_RES-TH_L17_0-W10_0-P7_50-D0_8-S10_00,1,S14K275,C233160
SW301,C2845315_SW-SMD_4P-L6_0-W6_0-P4_50-LS10_0_TL3301EF160QG,1,RESET,C2845315
SW302,C2845315_SW-SMD_4P-L6_0-W6_0-P4_50-LS10_0_TL3301EF160QG,1,BOOT,C2845315
U201,C2857903_PWRM-TH_4P-L45_7-W25_4-P8_0,1,IRM-10-5,C2857903
U202,C51118_SOT-25-5_L2_9-W1_6-P0_95-LS2_8-BL,1,AP2112K-3.3,C51118
U301,C701342_WIFI-SMD_ESP32-WROOM-32E,1,ESP32-WROOM-32E,C701342
U302,C969151_QFN-24_L4_0-W4_0-P0_50-TL-EP2_6,1,CP2102N-A02-GQFN24R,C969151
U303,C94934_SOT-9X3-3_L1_0-W0_8-P0_35-LS1_0-BR,1,TPD2EUSB30A,C94934
U401,C558584_SSOP-28_L10_2-W5_3-P0_65-LS7_8-BL,1,MCP23017T-E/SS,C558584
U501,C181731_SOIC-18_L11_6-W7_5-P1_27-LS10_3-BL,1,ULN2803A,C181731
