Designator,Mid X,Mid Y,Rotation,Layer
C201,117.5,-92.5,180.0,top
C202,119.5,-84.5,180.0,top
C203,167.5,-78.45,180.0,top
C204,175.45,-78.5,0.0,top
C301,177.9,-64.85,180.0,top
C302,177.35,-62.7,180.0,top
C303,178.5,-68.5,180.0,top
C305,221.0,-80.0,180.0,top
C306,221.0,-82.5,180.0,top
C401,158.05,-96.0,180.0,top
C402,157.025,-93.5,180.0,top
C703,156.2575,-86.03,0.0,top
C704,160.05,-86.0,180.0,top
D601,69.4375,-132.545,0.0,top
D602,91.471786,-132.545,0.0,top
D603,113.506071,-132.545,0.0,top
D604,135.540357,-132.545,0.0,top
D605,157.574643,-132.545,0.0,top
D606,179.608929,-132.545,0.0,top
D607,201.643214,-132.545,0.0,top
D608,223.6775,-132.545,0.0,top
F101,78.5,-41.0,0.0,top
J101,67.4725,-64.085,90.0,top
J102,88.46,-66.5,0.0,top
J201,143.5,-36.0,0.0,top
J202,151.77,-36.0,0.0,top
J301,233.9425,-76.18,90.0,top
J302,160.0,-36.0,0.0,top
J701,108.455,-143.5,0.0,top
J702,144.72,-141.5,0.0,top
J703,77.5,-143.5,0.0,top
J704,91.175,-143.5,0.0,top
K601,72.0,-116.43,270.0,top
K602,93.928571,-116.43,270.0,top
K603,115.857143,-116.43,270.0,top
K604,137.785714,-116.43,270.0,top
K605,159.714286,-116.43,270.0,top
K606,181.642857,-116.43,270.0,top
K607,203.571429,-116.43,270.0,top
K608,225.5,-116.43,270.0,top
Q301,189.5,-85.45,0.0,top
Q302,196.0625,-89.45,180.0,top
R201,141.5875,-43.0,0.0,top
R202,150.0875,-43.0,0.0,top
R301,173.0,-66.0,180.0,top
R302,220.5,-76.0,90.0,top
R303,191.0875,-90.5,180.0,top
R304,195.0875,-84.5,0.0,top
R305,231.0875,-83.5,0.0,top
R306,226.675,-74.5,180.0,top
R307,220.0875,-86.0,0.0,top
R308,178.5875,-74.0,180.0,top
R401,166.4,-102.0,0.0,top
R405,157.0,-99.0,0.0,top
R406,157.5875,-100.5,0.0,top
R601,72.5,-132.5,180.0,top
R602,94.5,-132.5,180.0,top
R603,116.5,-132.5,180.0,top
R604,138.5,-132.5,180.0,top
R605,161.0,-132.5,180.0,top
R606,183.0,-132.5,180.0,top
R607,205.0,-132.5,180.0,top
R608,227.0,-132.5,180.0,top
R703,156.1875,-84.0,180.0,top
R704,160.0125,-84.0,0.0,top
RV101,89.75,-54.5,0.0,top
SW301,164.2925,-68.05,0.0,top
SW302,215.8425,-68.0,180.0,top
U201,117.6,-58.6,270.0,top
U202,171.7,-77.45,270.0,top
U301,190.35,-71.65,270.0,top
U302,226.1,-81.75,0.0,top
U303,227.95,-76.5,0.0,top
U401,164.5,-94.725,270.0,top
U501,180.5,-95.27,180.0,top
